date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:00	1479/1479	---M--	200	added ('OK')	text/plain	etag:%2213c02dc-5c7-530076b47f169%22	http://htmlcoder.me/robots.txt		(from )
20:02:01	81509/81509	---M-Z	200	added ('OK')	text/html	etag:%221401442-13e65-5546d3c83eac0-gzip%22	http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html	(from )
20:02:01	11743/11743	---MCZ	404	error ('Not%20Found')	text/html	etag:%221501334203-1%22	http://htmlcoder.me/preview/the_project/v.2.0/template/htmlcoder.me	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/htmlcoder.me	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:02	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22140137f-47e-520bcb0297240%22	http://htmlcoder.me/preview/the_project/v.2.0/template/images/favicon.ico	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/images/favicon.ico	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:04	37414/37414	---M--	200	added ('OK')	text/css	etag:%2214012e5-9226-550312d965600%22	http://htmlcoder.me/preview/the_project/v.2.0/template/fonts/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/fonts/font-awesome/css/font-awesome.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:04	35241/35241	---M--	200	added ('OK')	text/css	etag:%221401315-89a9-520bcb0297240%22	http://htmlcoder.me/preview/the_project/v.2.0/template/fonts/fontello/css/fontello.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/fonts/fontello/css/fontello.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:08	191738/191738	---M--	200	added ('OK')	text/css	etag:%221401234-2ecfa-5456d31836600%22	http://htmlcoder.me/preview/the_project/v.2.0/template/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/bootstrap/css/bootstrap.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:09	6951/6951	---M--	200	added ('OK')	text/css	etag:%2214014f8-1b27-52c26b1fbc580%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/magnific-popup/magnific-popup.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:09	30072/30072	---M--	200	added ('OK')	text/css	etag:%221401a57-7578-55019a4cf3240%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/settings.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/settings.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:13	146597/146597	---M--	200	added ('OK')	text/css	etag:%221401a44-23ca5-53603a33c67c0%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/layers.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/layers.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:13	59576/59576	---M--	200	added ('OK')	text/css	etag:%221401a54-e8b8-53f99c6a806c0%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/navigation.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/rs-plugin-5/css/navigation.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:14	3066/3066	---M--	200	added ('OK')	text/css	etag:%221401263-bfa-544cbd333f200%22	http://htmlcoder.me/preview/the_project/v.2.0/template/css/animations.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/css/animations.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:14	2936/2936	---M--	200	added ('OK')	text/css	etag:%221401502-b78-549a098e08800%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/owlcarousel2/assets/owl.carousel.min.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/owlcarousel2/assets/owl.carousel.min.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:15	936/936	---M--	200	added ('OK')	text/css	etag:%221401504-3a8-549a098e08800%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/owlcarousel2/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/owlcarousel2/assets/owl.theme.default.min.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
20:02:17	98128/98128	---M--	200	added ('OK')	text/css	etag:%22140149f-17f50-54b4753c90f00%22	http://htmlcoder.me/preview/the_project/v.2.0/template/plugins/hover/hover-min.css	C:/My%20Web%20Sites/SPC/htmlcoder.me/preview/the_project/v.2.0/template/plugins/hover/hover-min.css	(from http://htmlcoder.me/preview/the_project/v.2.0/template/index-corporate-1.html)
